NF31BL90-B5	84.6.19.92
NF31BL91-B5	84.6.19.93
NF31BL92-B5	84.6.19.94
NF31BL93-B5	84.6.19.95
NF31BL94-B5	84.6.19.96
NF31BL95-B5	84.6.19.97
NF31BL96-B5	84.6.19.98
NF70SW0A-M2-VDC2	84.7.115.132
NF70SW0B-M2-VDC2	84.7.115.135
NF49SW07-M1	84.97.115.39
NF49SW14-M1	84.97.115.46
NF49SW16-M1	84.97.115.53
NF36SW04-M1	84.97.115.60
NF70SW02-C0	84.98.3.2
NF70SW03-C0	84.98.3.3
NF70SW04-C0	84.98.3.4
NF55SW13-M2	84.97.115.47
NF31BL107-B5	84.6.19.107
NF50SW08-B5	84.97.51.24
NF55SW10-B5	84.97.51.40
NF50SW06-B5	84.97.51.22
NF50SW04-B5	84.97.51.20
NF65SW02-B5	84.97.51.34
NF65SW01-B5	84.97.51.33
JD70SW01-C0	76.97.131.1
NF55SW12-B5	84.97.51.42
NF55SW11-B5	84.97.51.41
